@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,10-12,14-17,20-56,58-weka.filters.unsupervised.attribute.RenameNominalValues-R10-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute snow_yrmean numeric
@attribute lst_yrmean numeric
@attribute tmean numeric
@attribute tmean_yrmean numeric
@attribute agkffactws numeric
@attribute depth numeric
@attribute logchl_A {low,medium,high}

@data
0.415352,0.483765,0.161482,0.672696,0.605488,-0.190815,-0.00183,0.0146,0.608095,medium
0.43743,0.776358,0.772626,0.72834,-0.456066,-0.481515,-0.963972,0.194432,0.348668,medium
0.64113,0.506878,0.353296,0.544009,0.154079,0.542775,0.490204,0.653154,0.721627,medium
0.824043,0.458753,0.178694,0.635981,-0.655756,-0.090289,-0.075267,0.327683,0.90262,low
0.468191,0.446587,0.241277,0,1.452056,1.563989,1.382518,0,0.489625,low
0.507491,0.545451,0.372571,0.003479,1.171898,1.063953,1.313336,0.291905,0.692449,medium
0.75376,0.382906,0.219743,0.017902,0.761203,0.789764,1.004742,0.040671,0.619819,low
0.860515,0.643741,0.621338,0,0.46182,0.899797,0.811731,0.266918,0.367256,high
0.75077,0.46894,0.361355,0.4826,-0.01241,0.078732,0.275854,0.274704,0.564403,low
0.058046,0.542215,0.454551,0.891289,-2.01472,-0.777102,-0.620492,0,0.403151,low
0.632187,0.372941,0.193877,0,0.336039,0.738782,0.713236,0,0.568832,low
0.892748,0.405149,0.259722,0.566149,-0.49642,-0.029151,-0.060228,0.070485,0.7038,low
0.918767,0.359928,0.118111,0.817996,-1.923833,-0.912685,-1.387266,0.013253,0.701483,low
0.762322,0.480588,0,0.402416,-0.172585,-0.444554,0.016976,0.029696,0.863737,low
0.306335,0.392556,0.268042,0.983394,-4.938163,-4.323107,-4.161186,0,0.715924,low
0.682392,0.513898,0.207458,0.558263,-0.139495,0.237075,0.161625,0.423935,0.741107,low
0.399285,0.717098,0.735651,0.641793,0.627734,0.716437,-0.177566,0.002232,0.403151,high
0.813938,0.514407,0.427201,0,0.5318,0.454235,0.758297,0.248243,0.45592,medium
0.617415,0.533752,0.518871,0,0.52027,1.519362,0.831164,0.357326,0.496958,medium
0.130236,0.412665,0.268042,0.915149,-1.717834,-2.110967,-1.802201,0,0.525049,low
0.91983,0.431111,0.275856,0.620522,-0.955808,-0.248248,-0.447965,0,0.56737,low
0.891431,0.408306,0.34907,0.659202,-1.010573,-0.214427,-0.51389,0.167463,0.58531,low
0.768193,0.62379,0.605308,0,0.840065,0.775137,1.041677,0.442121,0.503939,high
0.192471,0.481734,0.296805,0.008112,1.624919,0.895507,1.112941,0.001288,0.729542,low
0.433348,0.676336,0.55908,0.770046,-0.683508,-0.461597,-1.188882,0.212043,0.481903,medium
0.165702,0.272917,0,0.763491,-1.058895,0.532896,-0.353535,0.006967,0.739767,low
0.787975,0.517247,0.178694,0.574001,-0.345174,-0.553842,-0.139409,0.150942,0.762949,low
0.291621,0.366627,0,0.906647,-2.557271,-2.301322,-3.085576,0,0.756294,low
0.757384,0.466872,0.386152,0,1.303918,1.446312,1.667343,0.00107,0.516969,low
0.576782,0.659947,0.688013,0,1.011467,0.952536,1.310478,0.629012,0.575926,high
0.456702,0.621771,0.576398,0,1.338643,0.964321,1.179736,0.137094,0.586603,medium
0.100198,0.567873,1,0.147979,1.550044,0.196526,0.450216,0,0.816712,low
0.524739,0.470969,0.325568,0.388276,0.364368,0.788157,0.480338,0.650592,0.676714,medium
