@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,9-19,21-27,29-35,37-44,46-55,58-59-weka.filters.unsupervised.attribute.RenameNominalValues-R10-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute n_fert_farm_2007 numeric
@attribute p_crop_removal_2007 numeric
@attribute p_accumulated_ag_inputs_2007 numeric
@attribute bfiws numeric
@attribute agkffactws numeric
@attribute logchl_A {low,medium,high}

@data
0.912422,0.380067,0.207458,-0.179581,-1.055057,-0.877114,0.882421,0.743892,0.153563,low
0.617149,0.494416,0.141612,0.142152,0.94188,1.014519,0.971969,0.933587,0,low
0.319203,0.418896,0.335489,-0.130686,-0.233602,-0.366606,0.092815,0.867032,0.028428,low
0.492169,0.579601,0.652572,-0.19198,0.933522,0.573916,0.697374,0.560924,0.281657,low
0.397421,0.443726,0.602331,-1.346878,-1.055057,-0.877114,-1.297934,0.963451,0,medium
0.440697,0.753601,0.712492,-1.032071,1.525762,1.965204,1.015032,0.551252,0.605873,high
0.266877,0.513216,0.296805,2.577683,-1.055057,-0.877114,-1.297934,0.813987,0,low
0.268003,0.595417,0.470573,-2.238367,-0.886146,-0.782538,-0.395643,0.636527,0.021428,high
0.174708,0.318461,0.141612,-1.704039,-1.055057,-0.877114,-1.297934,0.939044,0,low
0.23587,0.650218,0.376103,-0.929118,-1.055057,-0.877114,-1.297934,0.445031,0,medium
0.270581,0.478261,0.431805,-1.540286,-1.055057,-0.877114,-1.297934,0.690303,0,low
0.898379,0.358538,0.118111,-0.075353,-1.055057,-0.877114,-1.297934,0.789324,0.004431,low
0.091748,0.288532,0.089347,-1.254486,-1.055057,-0.877114,-1.297934,0.92074,0,low
0.673795,0.532324,0.365203,1.912129,1.730043,2.289069,1.332513,0.767228,0.616749,medium
0.508113,0.578095,0.575659,-0.047426,1.562006,1.646523,1.105815,0.440829,0.768582,medium
0.852267,0.559221,0.46545,1.008143,1.327291,1.901831,1.385425,0.793094,0.704053,high
0.611008,0.427438,0.178694,-0.577763,-1.055057,-0.877114,-1.297934,0.909606,0.001129,low
0.439528,0.550195,0.458287,-0.147088,0.498476,0.371942,0.62701,0.173486,0.339642,medium
0.670834,0.444368,0.275856,1.295218,0.72021,0.825374,0.804442,0.562512,0.115085,low
0.832205,0.39609,0.241277,0.233998,0.057329,0.79931,0.965414,0.669755,0.23678,low
0.964713,0.451796,0.275856,-0.533595,0.314524,-0.144795,0.504925,0.75344,0.068042,low
0.469218,0.49049,0.309091,0.624117,-0.020583,-0.339824,0.524673,0.592296,0.075959,low
0.80113,0.515752,0.36894,0.404895,0.404682,0.194815,0.980035,0.769843,0.18423,medium
0.635674,0.607948,0.522278,0.176345,0.806247,0.921154,0.899727,0.711722,0.23157,medium
0.581296,0.514913,0.275856,-0.017649,-1.055057,-0.877114,-1.297934,0.906814,0.000099,low
0.72981,0.56932,0.353296,-0.299107,0.474475,-0.483109,0.909626,0.61389,0.018265,medium
0.914702,0.407413,0.259722,-0.006387,-0.555644,-0.688458,0.43752,0.758951,0.015089,low
0.532853,0.863804,0.822948,-0.444408,1.691788,2.304665,1.243717,0.802894,0.359063,high
0.51854,0.546214,0.442644,0.377133,0.928428,0.8612,0.905039,0.451552,0.475197,medium
0.228125,0.447835,0.365203,-2.012052,-1.055057,-0.877114,-1.297934,0.885937,0,medium
0.670853,0.534741,0.193877,0.499836,-0.284167,-0.456417,0.121044,0.977563,0.038406,low
0.158865,0.649429,0.434047,-0.271823,-1.055057,-0.877114,1.449508,0.726643,0.006187,medium
0.49795,0.562218,0.296805,-0.982332,1.152454,1.398314,0.974134,0.840475,0.199266,low
0.695577,0.522558,0.429524,1.569268,1.210348,1.909038,1.327856,0.640053,0.615442,medium
0.59509,0.54391,0.598665,0.369139,1.750922,2.285509,0.944183,0.51848,0.737856,medium
0.898175,0.372326,0.161482,0.112375,-1.055057,-0.877114,-1.297934,0.772612,0,low
0.410568,0.74258,0.599899,-1.48129,1.017447,1.208805,0.855782,0.640654,0.448955,medium
0.44841,0.526114,0.442644,-0.223405,0.180585,-0.220932,0.413323,0.464627,0.114015,medium
0.096791,0.489007,0.161482,-1.254486,-1.055057,-0.877114,-1.297934,0.893188,0,low
0.560836,0.551289,0.456432,-0.017649,1.308834,0.778655,0.904841,0.858409,0.333758,medium
0.520367,0.567247,0.505545,0.377133,0.855083,1.052431,0.870796,0.445782,0.259793,medium
0.856293,0.424023,0.207458,0.233998,-1.055057,-0.877114,-1.297934,0.815517,0.003467,low
0.767104,0.546846,0.472236,0.864399,-0.567202,0.327186,0.724023,0.682569,0.327161,medium
0.537597,0.517412,0.275856,-0.486015,-1.055057,-0.877114,-1.297934,0.820225,0,low
0.713338,0.230649,0,0.986533,-1.043106,-0.874901,-1.038388,0.878839,0.001638,low
0.060192,0.272917,0.089347,0.146896,-1.049412,-0.876387,-0.690162,0.887088,0,low
0.444933,0.635574,0.697565,-1.032071,1.493742,1.911256,0.992928,0.603069,0.555046,medium
0.636815,0.586484,0.497651,0.759885,1.736848,2.441934,1.332016,0.358095,0.851132,medium
0.072976,0.211072,0.089347,-0.485561,-1.055057,-0.877114,-1.297934,0.870005,0,low
0.649797,0.405149,0,1.957182,-0.062097,-0.471077,0.893129,0.609652,0.119575,low
0.44213,0.595336,0.534053,0.35183,1.180078,0.935525,1.053658,0.309052,0.364629,medium
0.693296,0.457055,0.259722,0.862797,1.026601,0.395235,1.380897,0.813233,0.1581,low
0.586288,0.619389,0.567241,0.369139,1.325316,1.733143,0.728651,0.564869,0.029531,medium
0.044384,0.388371,0.118111,-0.296563,-0.726196,-0.802258,0.369615,0.863017,0.010453,low
0.502591,0.594115,0.395474,-0.982332,1.207969,1.470023,0.902643,0.830833,0.197806,medium
0.664557,0.296197,0.193877,1.274486,0.029136,-0.118295,0.470136,0.515981,0.080496,low
0.516616,0.603753,0.481788,-0.622024,1.177695,1.374071,1.019181,0.79079,0.316292,medium
0.489375,0.596304,0.739449,-0.207158,1.77928,2.227274,1.16873,0.550899,0.752239,medium
0.792063,0.48772,0.161482,0.86224,0.935982,0.733991,1.234072,0.615009,0.346958,medium
