@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,9-19,21-37,39,41-49,51-59'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute p_livestock_demand_2007 numeric
@attribute p_livestock_production_2007 numeric
@attribute pctwdwet2011ws numeric
@attribute logchl_A {'\'(-inf-0.980205]\'','\'(0.980205-1.960411]\'','\'(1.960411-inf)\''}

@data
0.503309,0.483989,0.241277,-0.982332,0.366417,0.060629,0.153971,'\'(-inf-0.980205]\''
0.757396,0.444688,0.161482,1.604788,0.716439,0.58926,0.161094,'\'(-inf-0.980205]\''
0.617966,0.58788,0.500337,0.732795,0.948952,0.7568,0,'\'(0.980205-1.960411]\''
0.912422,0.380067,0.207458,-0.179581,1.200078,1.070297,0.276292,'\'(-inf-0.980205]\''
0.617149,0.494416,0.141612,0.142152,1.302978,1.220014,0.691606,'\'(-inf-0.980205]\''
0.319203,0.418896,0.335489,-0.130686,-0.510063,-0.550843,0.239937,'\'(-inf-0.980205]\''
0.492169,0.579601,0.652572,-0.19198,0.656425,0.555998,0.09804,'\'(-inf-0.980205]\''
0.397421,0.443726,0.602331,-1.346878,-0.966664,-0.850623,0.148857,'\'(0.980205-1.960411]\''
0.440697,0.753601,0.712492,-1.032071,0.682347,0.588412,0,'\'(1.960411-inf)\''
0.266877,0.513216,0.296805,2.577683,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.268003,0.595417,0.470573,-2.238367,-0.743554,-0.713712,0.020492,'\'(1.960411-inf)\''
0.174708,0.318461,0.141612,-1.704039,-0.966664,-0.850623,0.022557,'\'(-inf-0.980205]\''
0.23587,0.650218,0.376103,-0.929118,-0.966664,-0.850623,0.030462,'\'(0.980205-1.960411]\''
0.270581,0.478261,0.431805,-1.540286,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.898379,0.358538,0.118111,-0.075353,-0.966664,-0.850623,0.220715,'\'(-inf-0.980205]\''
0.091748,0.288532,0.089347,-1.254486,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.673795,0.532324,0.365203,1.912129,0.921724,0.644472,0.059089,'\'(0.980205-1.960411]\''
0.508113,0.578095,0.575659,-0.047426,1.385533,1.433922,0.033229,'\'(0.980205-1.960411]\''
0.852267,0.559221,0.46545,1.008143,1.70681,1.726073,0.546237,'\'(1.960411-inf)\''
0.611008,0.427438,0.178694,-0.577763,-0.966664,-0.850623,0.738204,'\'(-inf-0.980205]\''
0.439528,0.550195,0.458287,-0.147088,0.493539,0.381218,0.000827,'\'(0.980205-1.960411]\''
0.670834,0.444368,0.275856,1.295218,-0.29084,-0.452257,0,'\'(-inf-0.980205]\''
0.832205,0.39609,0.241277,0.233998,1.178063,1.083636,0.354892,'\'(-inf-0.980205]\''
0.964713,0.451796,0.275856,-0.533595,-0.139673,-0.302872,0.621177,'\'(-inf-0.980205]\''
0.469218,0.49049,0.309091,0.624117,0.580124,0.467497,0,'\'(-inf-0.980205]\''
0.80113,0.515752,0.36894,0.404895,1.575187,1.745133,0.16568,'\'(0.980205-1.960411]\''
0.635674,0.607948,0.522278,0.176345,0.15731,-0.042148,0.28897,'\'(0.980205-1.960411]\''
0.581296,0.514913,0.275856,-0.017649,-0.966664,-0.850623,0.608186,'\'(-inf-0.980205]\''
0.72981,0.56932,0.353296,-0.299107,0.709908,0.617814,0.761501,'\'(0.980205-1.960411]\''
0.914702,0.407413,0.259722,-0.006387,-0.33191,-0.453331,0.568354,'\'(-inf-0.980205]\''
0.532853,0.863804,0.822948,-0.444408,1.644412,1.456165,0,'\'(1.960411-inf)\''
0.51854,0.546214,0.442644,0.377133,1.137915,1.038926,0.095162,'\'(0.980205-1.960411]\''
0.228125,0.447835,0.365203,-2.012052,-0.966664,-0.850623,0.056908,'\'(0.980205-1.960411]\''
0.670853,0.534741,0.193877,0.499836,-0.472547,-0.562338,0.355941,'\'(-inf-0.980205]\''
0.158865,0.649429,0.434047,-0.271823,2.478555,2.952186,0.408447,'\'(0.980205-1.960411]\''
0.49795,0.562218,0.296805,-0.982332,1.161052,0.906722,0.059127,'\'(-inf-0.980205]\''
0.695577,0.522558,0.429524,1.569268,0.960955,0.728196,0,'\'(0.980205-1.960411]\''
