@relation 'AT: bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R12-28-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I-weka.filters.unsupervised.attribute.RenameNominalValues-R12-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute '-0.213total input-0.213nani-0.211p_accumulated_ag_inputs_2007-0.211n_livestock_food_demand_2007-0.209n_livestock.waste_2007...' numeric
@attribute -0.241n_human_waste_2007-0.239human_n_demand_2007-0.239p_human_waste_kg_2007-0.237p_human_food_demand_kg_2007-0.227n_fert_urban_2007... numeric
@attribute 0.307lst+0.271lst_yrmean-0.247npp-0.216omws-0.191lat_dd... numeric
@attribute -0.252lat_dd+0.224atmo_pdep_2002+0.215atmo_pdep_2007-0.211p_human_food_demand_kg_2007-0.207p_human_nonfood_demand_kg_2007... numeric
@attribute '0.41 wetlands+0.349pctwdwet2011ws+0.314pcthbwet2011ws-0.29depth+0.225ntl...' numeric
@attribute 0.284ntl-0.254depth+0.249ptl-0.223napi+0.218n_rock_2007... numeric
@attribute '0.536wsarea_km2+0.51 lake_area_ha+0.237depth-0.21runoffws-0.208npp_yrmean...' numeric
@attribute 0.368lake_area_ha+0.346wsarea_km2-0.292sandws-0.255atmo_pdep_2007+0.255npp... numeric
@attribute -0.469fire_yrmean-0.42fire-0.339p_f_fertilizer_2007-0.246p2o5ws+0.208wsarea_km2... numeric
@attribute '0.328napi+0.321precip-0.265n_cbnf_2007+0.25 ptl-0.246bfiws...' numeric
@attribute 0.524n_rock_2007+0.499damdensws+0.257fire-0.24omws+0.196fire_yrmean... numeric
@attribute logchl_A {low,medium,high}

@data
-6.218417,-0.929622,0.990875,1.972814,-1.999714,-2.126352,-1.075933,-0.928598,0.072334,0.638579,4.416666,low
-2.46604,0.173696,0.491382,1.29097,0.710526,2.092821,0.967523,0.518102,-1.838254,-0.550894,-0.249635,medium
-0.372771,-5.371086,0.782382,-4.094746,-3.008215,-2.665132,-1.436407,0.777613,1.238273,-0.009773,-0.088127,low
-0.441257,2.408397,-2.236794,-2.698391,0.186787,1.774394,0.735283,0.642562,-2.369445,-0.158212,-0.08688,medium
-1.116577,-1.786556,-1.3619,3.815013,-1.994256,-0.010619,0.887775,-0.588352,-0.343849,-0.261836,-0.823474,low
-4.017083,2.127275,-2.518452,-3.321347,0.537749,-0.993444,0.439565,-1.274508,-0.887274,0.633826,0.474037,medium
-4.974749,4.489441,0.019735,0.599947,-1.3221,2.155241,-0.354283,1.390439,-1.238013,0.022994,-0.584252,medium
-6.636869,-1.241668,-0.023045,0.263149,-2.182009,-1.910583,-0.266519,-0.812416,-0.034349,1.246696,-0.348506,medium
-6.642991,0.642475,-3.395097,0.261225,-1.033584,0.747487,1.086816,-0.637595,-1.331523,-0.890825,-0.379781,medium
3.857067,1.330013,1.397612,-1.137863,4.373447,1.991623,1.136358,-1.894383,-0.088068,1.386288,1.051815,high
-1.351414,-3.866687,0.096325,0.827092,0.966543,0.467815,0.361369,-0.233112,-0.475039,0.19588,-0.160259,medium
-0.791505,4.228355,-0.648676,-2.712141,-0.969482,1.716841,0.900095,0.159931,-1.373773,1.723137,0.02368,medium
-3.721716,-4.64906,2.850585,0.418405,-0.298382,-1.221953,0.341263,-1.332581,-0.245582,0.419747,-1.193615,medium
-2.742115,-1.871884,0.444016,1.150849,-1.065383,-1.171015,-0.050528,-0.455404,0.043765,0.247068,-0.705641,low
5.876585,2.059081,1.840017,-0.294285,-0.907292,-1.196596,0.204733,-0.636404,-0.296041,-1.060996,0.111273,low
1.377978,-7.125225,0.716356,-0.767666,-1.629829,1.534322,-1.173289,0.667153,2.023599,0.742536,5.090402,low
-0.014541,3.110528,0.784858,-1.0288,1.471335,-1.902828,0.379579,-1.516952,-0.216836,0.519366,1.152159,medium
4.609699,-2.836658,-4.261913,0.75809,-0.265217,0.15998,0.467092,-0.181849,-0.122924,0.629901,-1.134396,low
-4.246153,-1.821216,-1.81544,-2.006856,-1.321421,-0.628768,0.398875,-1.350363,0.111247,-0.666662,0.233123,low
-5.10843,0.252643,-3.779563,0.159085,-0.762914,0.519531,1.659376,-0.831799,-1.851303,-2.742019,-0.721876,low
5.422006,3.931251,4.555024,-1.16938,0.841594,-1.053437,0.027556,-0.992002,0.50762,-0.214448,-1.539182,low
-2.661996,-1.549452,-0.447846,2.044198,-1.349437,-2.017718,0.947715,0.318138,0.819641,0.951541,-0.05228,low
3.603152,3.589973,2.859054,-0.309849,-0.819236,-0.931879,0.450079,-0.329542,-0.468136,-0.208114,-1.508335,low
2.303686,3.099885,0.436807,-1.515229,-0.038257,-0.483879,0.100737,0.192959,-0.670652,-0.306401,0.767849,medium
-0.698226,-3.700777,-2.627946,-0.152885,1.882478,-0.558498,-0.10452,-0.489267,0.536974,-0.268092,-0.239247,low
1.630926,3.65993,1.24996,-0.572149,-0.483649,-8.660702,20.851441,12.780075,6.578104,-0.199435,2.425742,low
-0.275387,1.86248,2.173298,2.695455,-0.395776,-1.482009,1.138879,-0.485765,-0.490147,0.999847,-0.942961,low
3.320242,0.365834,3.296167,1.771695,-0.026918,-1.080097,-0.606747,0.421489,-0.022373,-0.631305,-1.359686,low
-6.528551,3.36503,-0.351054,-3.207979,-1.908849,0.231552,0.021881,0.155277,-1.311678,0.788397,-0.366637,medium
-6.335671,0.405556,-0.221756,-0.483049,2.330406,-2.023901,-0.173752,-1.276731,-0.776149,1.136484,2.391414,medium
-0.613049,3.694926,-1.385244,-2.295312,-0.118656,2.789132,1.475388,0.17162,-1.915489,1.193553,0.122299,medium
6.839243,0.867395,-1.267252,-1.066548,-2.292484,-2.659704,0.390121,1.366766,-0.307301,0.025003,-1.540586,low
-2.279694,4.356919,-1.191509,-1.985051,-0.450039,2.448171,0.764544,0.300006,-1.215299,1.767773,0.281338,medium
3.2177,1.350212,0.600383,1.548974,-2.049552,-1.501152,0.831181,-0.511667,-0.940397,-0.773504,-0.14771,low
-4.355588,0.503351,0.745909,2.518764,-1.628653,-1.267461,0.097821,-0.948472,0.238744,1.109137,-0.362198,low
-6.86049,0.897231,-1.685313,-0.318853,-1.951021,1.026203,0.25234,0.401624,-0.812225,0.250339,-0.460235,medium
-2.125474,4.107142,-1.146227,-1.499315,-1.036011,1.541248,0.61675,-0.222626,-0.774982,1.974621,0.148134,low
5.987251,0.293849,-1.45328,0.392079,-2.76547,0.765415,1.243735,-1.918701,0.335708,0.669232,1.570837,low
