@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-2,5-6,9-19,21-30,32,34-38,40-43,45-51,53-59-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lat_dd numeric
@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute n_human_waste_2007 numeric
@attribute n_livestock.waste_2007 numeric
@attribute p_livestock_waste_2007 numeric
@attribute p_human_waste_kg_2007 numeric
@attribute runoffws numeric
@attribute logchl_A {low,medium,high}

@data
0.727165,0.914702,0.407413,0.259722,-0.006387,0.203648,-0.13823,-0.376571,0.231368,0.787992,low
0.823534,0.532853,0.863804,0.822948,-0.444408,0.126168,1.259988,1.79148,-0.164102,0.594493,high
0.510055,0.51854,0.546214,0.442644,0.377133,0.082346,1.051688,1.133559,-0.339156,0.713073,medium
0.543177,0.228125,0.447835,0.365203,-2.012052,0.003491,-1.10481,-0.920603,-0.582579,0.386774,medium
0.782041,0.670853,0.534741,0.193877,0.499836,0.129459,-0.355994,-0.499572,-0.137446,0.729838,low
0.305619,0.158865,0.649429,0.434047,-0.271823,0.130822,2.232399,2.612057,-0.180465,0.263466,medium
0.880706,0.49795,0.562218,0.296805,-0.982332,0.261394,0.957921,1.227182,0.595748,0.545116,low
0.593961,0.695577,0.522558,0.429524,1.569268,0.374228,0.95505,0.982399,1.477568,0.715168,medium
0.395908,0.59509,0.54391,0.598665,0.369139,0.116432,-0.330505,-0.226999,-0.205507,0.743218,medium
0.777718,0.898175,0.372326,0.161482,0.112375,0,-1.10481,-0.920603,-0.591376,0.77988,low
0.798338,0.410568,0.74258,0.599899,-1.48129,0.005063,1.215792,1.151895,-0.57845,0.373532,medium
0.368702,0.44841,0.526114,0.442644,-0.223405,0.032542,0.184904,-0.01639,-0.503156,0.5843,medium
0.511381,0.096791,0.489007,0.161482,-1.254486,0.022654,-1.10481,-0.920603,-0.53151,0.682506,low
0.840303,0.560836,0.551289,0.456432,-0.017649,0.160251,0.997549,0.887804,-0.002533,0.64946,medium
0.557026,0.520367,0.567247,0.505545,0.377133,0.561404,0.488789,0.313204,3.282163,0.714474,medium
0.656374,0.856293,0.424023,0.207458,0.233998,0.438992,-1.10481,-0.920603,2.058357,0.803921,low
0.609164,0.767104,0.546846,0.472236,0.864399,0.180058,0.798826,0.587495,0.099308,0.738727,medium
0.942689,0.537597,0.517412,0.275856,-0.486015,0,-1.10481,-0.920603,-0.591376,0.639621,low
0.397018,0.713338,0.230649,0,0.986533,0.047224,-1.089776,-0.913608,-0.45874,0.834039,low
0.987716,0.060192,0.272917,0.089347,0.146896,0.0007,-0.83936,-0.810716,-0.589811,0.915086,low
0.908627,0.444933,0.635574,0.697565,-1.032071,0.070294,0.733927,0.56695,-0.382625,0.361615,medium
0.554508,0.636815,0.586484,0.497651,0.759885,0.093303,0.86554,1.021712,-0.298381,0.703176,medium
0.569141,0.072976,0.211072,0.089347,-0.485561,0,-1.10481,-0.920603,-0.591376,0.81032,low
0.346333,0.649797,0.405149,0,1.957182,0.120488,0.747526,1.797715,-0.187443,0.787278,low
